record_id,product_name,brand_name,brand_confidence,product_type,vendor,price_usd,commission_type,commission_pct,commission_flat_usd,net_earnings_per_sale_usd,cart_conversion_pct,cancellation_rate_pct,promotion_status,promotable_now,product_age_days,online_since_iso,derived_niche,risk_flags,source_page,parse_flags,econ_score,sc_payout,sc_commission,sc_conversion,sc_retention,sc_promotable,sc_effort_worth,sc_stability
680,Content Creation With AI,Content Creation With AI,HIGH,E-books,ManikandanP,148.58,percent,70.0,UNKNOWN,104.0,UNKNOWN,UNKNOWN,Promote now,YES,649.0,2024-11-13,ai-software,NONE,7,,76.39,23.19,11.2,8.0,8.0,10.0,13.0,3.0
792,The 24K Golden Rose,The 24K Golden Rose,HIGH,Deliverable,luxgoldenrose,232.81,percent,60.0,UNKNOWN,139.69,UNKNOWN,UNKNOWN,Promote now,YES,1013.0,2023-11-15,health-supplement,SUPPLEMENT,8,,76.25,24.65,9.6,8.0,8.0,10.0,13.0,3.0
640,Lottery Increaser,Lottery Increaser,HIGH,Member area and video courses,lotteryincreaser,113.48,percent,75.0,UNKNOWN,85.11,UNKNOWN,UNKNOWN,Promote now,YES,1628.0,2022-03-10,education-courses,NONE,7,,76.2,22.2,12.0,8.0,8.0,10.0,13.0,3.0
809,Slot Machine System,Slot Machine System,HIGH,Downloads,SlotMachineSystem,113.48,percent,75.0,UNKNOWN,85.11,UNKNOWN,UNKNOWN,Promote now,YES,2330.0,2020-04-07,other,NONE,9,,76.2,22.2,12.0,8.0,8.0,10.0,13.0,3.0
91,Thyrafemme Balance - New Japanese-Inspired Thyroid Offer,Thyrafemme Balance,HIGH,Supplements - health,thyrafemme,147.79,percent,65.0,UNKNOWN,134.22,3.0,11.79,Promote now,YES,336.0,2025-09-22,health-supplement,SUPPLEMENT,1,,76.17,24.45,10.4,3.33,13.49,10.0,13.0,1.5
70,Ultimate Dynamic Personal Budget in Google Sheets,Ultimate Dynamic Personal Budget in Google Sheets,MEDIUM,Downloads,FinSavvyDesigns,43.23,percent,90.0,UNKNOWN,28.3,14.0,16.89,Promote now,YES,512.0,2025-03-30,other,NONE,1,,76.1,16.83,12.0,15.56,9.71,10.0,9.0,3.0
303,Healthy Heart Solution Kit,Healthy Heart Solution Kit,HIGH,E-books,BartonPublishing,55.55,percent,75.0,UNKNOWN,18.89,18.0,13.58,Promote now,YES,1413.0,2022-10-11,other,NONE,4,,76.06,14.9,12.0,20.0,12.16,10.0,4.0,3.0
812,SeroBurn,SeroBurn,HIGH,Supplements - for slimming,seroburn,171.98,percent,65.0,UNKNOWN,111.78,UNKNOWN,UNKNOWN,Promote now,YES,616.0,2024-12-16,weight-loss,NONE,9,,75.95,23.55,10.4,8.0,8.0,10.0,13.0,3.0
634,Ring Quiet,Ring Quiet,HIGH,Supplements - health,superwebj,343.95,percent,55.0,UNKNOWN,189.17,UNKNOWN,UNKNOWN,Promote now,YES,559.0,2025-02-11,health-supplement,SUPPLEMENT,7,,75.8,25.0,8.8,8.0,8.0,10.0,13.0,3.0
349,Dog Potty Training in 7 Days | Earn 75% on Proven System,Dog Potty Training in 7 Days,MEDIUM,E-books,darrelltee,140.39,percent,75.0,UNKNOWN,105.29,UNKNOWN,UNKNOWN,Promote now,YES,324.0,2025-10-04,fitness,MAKE_MONEY,4,,75.75,23.25,12.0,8.0,8.0,10.0,13.0,1.5
43,Tube Magic - AI Tools For Growing on YouTube,Tube Magic,HIGH,Software,tubemagic,47.0,percent,50.0,UNKNOWN,265.11,1.0,8.94,Promote now,YES,913.0,2024-02-23,ai-software,NONE,1,PRICE_RECURRING,75.71,25.0,8.0,1.11,15.6,10.0,13.0,3.0
319,GlutLess Energy And GlutLess Sleep,GlutLess Energy And GlutLess Sleep,HIGH,Supplements - health,FallonQ,161.45,percent,65.0,UNKNOWN,104.94,UNKNOWN,UNKNOWN,Promote now,YES,623.0,2024-12-09,health-supplement,SUPPLEMENT,4,,75.63,23.23,10.4,8.0,8.0,10.0,13.0,3.0
